symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
ACI,Outside Nifty500,No,-3.23,455.25,470.45,168469.0,277722.0,60.7,20
KDDL,Outside Nifty500,No,-3.23,3756.5,3881.9,13165.0,27482.0,47.9,20
NAHARINDUS,Outside Nifty500,No,-3.23,127.37,131.62,8092.0,44622.0,18.1,20
AGIIL,Outside Nifty500,No,-3.22,264.15,272.95,174084.0,265161.0,65.7,20
GARUDA,Outside Nifty500,No,-3.22,176.05,181.9,157314.0,279724.0,56.2,20
FACT,Smallcap250,No,-3.21,754.55,779.6,40946.0,105273.0,38.9,20
GICRE,Midcap150,No,-3.21,338.2,349.4,205905.0,693534.0,29.7,20
LCL,Outside Nifty500,No,-3.17,535.5,553.05,185994.0,307894.0,60.4,20
20MICRONS,Outside Nifty500,No,-3.16,201.29,207.86,62529.0,94687.0,66.0,20
FOODSIN,Outside Nifty500,No,-3.15,53.49,55.23,34197.0,68354.0,50.0,20
MASKINVEST,Outside Nifty500,No,-3.14,140.8,145.36,147.0,214.0,68.7,19
CONCOR,Midcap150,Yes,-3.11,483.7,499.25,246795.0,536178.0,46.0,20
RAMRAT,Outside Nifty500,No,-3.11,515.85,532.4,82795.0,156848.0,52.8,20
RUCHIRA,Outside Nifty500,No,-3.11,105.44,108.83,21316.0,31559.0,67.5,20
STYLEBAAZA,Outside Nifty500,No,-3.1,376.05,388.1,282904.0,857637.0,33.0,20
CENTRUM,Outside Nifty500,No,-3.09,21.65,22.34,89939.0,153753.0,58.5,20
VERANDA,Outside Nifty500,No,-3.09,218.28,225.24,92999.0,224742.0,41.4,20
ELECTCAST,Outside Nifty500,No,-3.08,75.23,77.62,721866.0,1193742.0,60.5,20
METROGLOBL,Outside Nifty500,No,-3.08,134.31,138.58,572.0,1608.0,35.6,20
PURVA,Outside Nifty500,No,-3.07,205.56,212.06,68353.0,130889.0,52.2,20
ADFFOODS,Outside Nifty500,No,-3.06,261.3,269.55,23622.0,44712.0,52.8,20
ENEXT50,Outside Nifty500,No,-3.06,70.0,72.21,556.0,2149.0,25.9,20
MADHAV,Outside Nifty500,No,-3.06,35.18,36.29,634.0,2476.0,25.6,20
MODIS,Outside Nifty500,No,-3.04,354.4,365.5,8143.0,31397.0,25.9,20
BANARISUG,Outside Nifty500,No,-3.03,3411.1,3517.6,538.0,1534.0,35.1,20
JAGSNPHARM,Outside Nifty500,No,-3.03,225.83,232.89,30030.0,45885.0,65.4,20
KIRANVYPAR,Outside Nifty500,No,-3.03,200.75,207.02,2768.0,4506.0,61.4,20
DONEAR,Outside Nifty500,No,-3.02,82.46,85.03,13346.0,19073.0,70.0,20
VIPIND,Outside Nifty500,No,-3.02,291.05,300.1,137304.0,232127.0,59.2,20
MOTISONS,Outside Nifty500,No,-3.01,15.47,15.95,2883071.0,8224714.0,35.1,20
