sym,entry,exit,qty,entry_px,exit_px,pnl,ret_pct,R,rate,mfe_pct,mae_pct,mfe_R,mae_R,hold
DIAPOW,2026-07-17,2026-07-17,200.0,223.3234785,221.9018075,-284.3342000000007,-0.6365971950414551,-0.09094245643449335,0.07,-0.42247170173824733,-0.42247170173824733,-0.06035310024832104,-0.06035310024832104,0
SEINVE,2026-06-29,2026-07-17,150.0,60.241165800000005,70.55733085714286,1547.4247585714281,17.124776587811084,2.4463966554015824,0.07,22.4743894315538,-1.8943288776791967,3.2106270616505426,-0.2706184110970281,18
SEINVE,2026-07-14,2026-07-17,200.0,73.3774215,70.55733085714286,-564.0181285714277,-3.843267568153974,-0.5490382240219958,0.07,0.5486408376996543,-2.217877743223773,0.07837726252852203,-0.3168396776033961,3
RASPER,2026-07-08,2026-07-17,10.0,746.76396,735.57714,-111.86820000000012,-1.4980396215157454,-0.21400566021653541,0.07,4.859104341350373,-1.6489762039399891,0.6941577630500533,-0.23556802913428415,9
RASPER,2026-07-14,2026-07-17,10.0,790.4865050000001,735.57714,-549.0936500000009,-6.94627481338218,-0.9923249733403117,0.07,-1.6175488030627405,-7.088862952821695,-0.2310784004375343,-1.0126947075459563,3
RASPER,2026-07-14,2026-07-17,10.0,790.4865050000001,735.3773133333333,-551.0919166666679,-6.971553760638427,-0.9959362515197754,0.07,-1.6175488030627405,-7.088862952821695,-0.2310784004375343,-1.0126947075459563,3
RASPER,2026-07-15,2026-07-17,20.0,789.318515,735.3773133333333,-1078.8240333333351,-6.833895397305712,-0.9762707710436723,0.07,-1.719016435335996,-6.951378177160839,-0.24557377647657083,-0.9930540253086911,2
STLIND,2026-06-22,2026-07-22,80.0,195.84819499999998,244.43973699999998,3887.3233600000003,24.810819420623197,3.5444027743747437,0.07,27.971564915367253,-8.663952710924894,3.995937845052464,-1.2377075301321274,30
STLIND,2026-06-30,2026-07-22,20.0,184.25036,244.43973699999998,1203.7875399999996,32.66716927988633,4.666738468555191,0.07,36.026871263643656,-2.40453261529584,5.1466958948062365,-0.34350465932797714,22
MARPHA,2026-06-24,2026-07-22,40.0,269.61054533333333,241.29923599999998,-1132.4523733333342,-10.500816760832043,-1.500116680118864,0.07,2.852060054683614,-10.574714463814573,0.40743715066908764,-1.5106734948306533,28
MARPHA,2026-06-29,2026-07-22,60.0,265.28990833333336,241.29923599999998,-1439.4403400000028,-9.043190705614556,-1.291884386516365,0.07,4.527157381190738,-9.118291941561175,0.646736768741534,-1.302613134508739,23
MARPHA,2026-06-30,2026-07-22,100.0,268.03858,241.698924,-2633.965600000002,-9.826815229359898,-1.4038307470514142,0.07,3.4552563291448513,-10.050262167483515,0.49360804702069305,-1.4357517382119307,22
GLAPH,2026-06-29,2026-07-22,2.0,2366.054866666667,2394.529455,56.94917666666606,1.203462723307358,0.1719232461867659,0.07,7.774339298922417,0.2935322181736977,1.1106198998460595,0.04193317402481395,23
GLAPH,2026-07-08,2026-07-22,10.0,2547.08173,2394.529455,-1525.52275,-5.989296425128843,-0.8556137750184067,0.07,-0.694195627558436,-4.239429333113698,-0.09917080393691942,-0.6056327618733853,14
